year;code;city;type;GDP;GDPPC
2010;1500347;Água Azul do Norte;Centro Local;180873,251;7217,32
2010;1500404;Alenquer;Centro Local;361812,746;6863,69
2010;1500503;Almeirim;Centro de Zona;576867,404;17135,52
2010;1500602;Altamira;Centro Subregional;842407,869;8020,64
2010;1500701;Anajás;Centro Local;95375,829;3850,3
2010;1500800;Ananindeua;Metrópole;4100512,646;8692,24
2010;1500859;Anapu;Centro Local;111551,491;5443,39
2010;1500909;Augusto Corrêa;Centro Local;133307,829;3291,63
2010;1500958;Aurora do Pará;Centro Local;212960,707;8012,37
2010;1501006;Aveiro;Centro Local;55948,161;3548,43
2010;1501105;Bagre;Centro Local;78845,132;3305,18
2010;1501204;Baião;Centro Local;169273,964;4586,5
2010;1501253;Bannach;Centro Local;34214,898;9963,57
2010;1501303;Barcarena;Metrópole;2227149,609;22316,13
2010;1501402;Belém;Metrópole;18801039,14;13506,19
2010;1501451;Belterra;Centro Local;109871,28;6730,66
2010;1501501;Benevides;Metrópole;580846,682;11242,99
2010;1501576;Bom Jesus do Tocantins;Centro Local;86835,85;5695,65
2010;1501600;Bonito;Centro Local;56788,233;4166,41
2010;1501709;Bragança;Centro Subregional;509271,612;4500,26
2010;1501725;Brasil Novo;Centro Local;104504,136;5818,72
2010;1501758;Brejo Grande do Araguaia;Centro Local;35203,558;4806,6
2010;1501782;Breu Branco;Centro Local;534052,061;10173
2010;1501808;Breves;Centro Subregional;363439,583;3913,63
2010;1501907;Bujaru;Centro Local;228096,636;8875,36
2010;1501956;Cachoeira do Piriá;Centro Local;76673,44;2895,96
2010;1502004;Cachoeira do Arari;Centro Local;78541,001;3838,76
2010;1502103;Cametá;Centro Subregional;475010,725;3928,83
2010;1502152;Canaã dos Carajás;Centro Local;2120091,971;79323,98
2010;1502202;Capanema;Centro Subregional;601463,761;9452,82
2010;1502301;Capitão Poço;Centro de Zona;232621,543;4482,2
2010;1502400;Castanhal;Centro Subregional;1738923,327;10046,01
2010;1502509;Chaves;Centro Local;82704,997;3912,62
2010;1502608;Colares;Centro Local;42094,338;3698,33
2010;1502707;Conceição do Araguaia;Centro de Zona;299034,029;6567,85
2010;1502756;Concórdia do Pará;Centro Local;136685,214;4843,39
2010;1502764;Cumaru do Norte;Centro Local;107976,979;10305,11
2010;1502772;Curionópolis;Centro Local;116295,01;6356,66
2010;1502806;Curralinho;Centro Local;92822,407;3247,58
2010;1502855;Curuá;Centro Local;93834,611;7652,47
2010;1502905;Curuçá;Centro Local;132770,765;3849,54
2010;1502939;Dom Eliseu;Centro Local;311832,018;6076,46
2010;1502954;Eldorado do Carajás;Centro Local;200326,123;6310,48
2010;1503002;Faro;Centro Local;29520,56;3608,43
2010;1503044;Floresta do Araguaia;Centro Local;271035,984;15205,38
2010;1503077;Garrafão do Norte;Centro Local;121026,532;4831,21
2010;1503093;Goianésia do Pará;Centro Local;170781,713;5610,99
2010;1503101;Gurupá;Centro Local;103743,605;3569,98
2010;1503200;Igarapé-Açu;Centro Local;136819,4;3817,19
2010;1503309;Igarapé-Miri;Centro Local;237082,371;4086,01
2010;1503408;Inhangapi;Centro Local;45885,373;4559,36
2010;1503457;Ipixuna do Pará;Centro Local;387766,77;7546,6
2010;1503507;Irituia;Centro Local;105747,939;3369,7
2010;1503606;Itaituba;Centro Subregional;906106,524;9308,39
