code;name;city;state;type;uf_code
SIUB;Fazenda Uberaba;Cáceres;Mato Grosso;Privado;51
SDQZ;Fazenda Espinhaço II;Barra do Garças;Mato Grosso;Privado;51
SIXV;Fazenda Rancho do Planalto;Alcinópolis;Mato Grosso do Sul;Privado;50
SDVJ;Fazenda Santa Marta;Santa Maria das Barreiras;Pará;Privado;15
SNZY;Fazenda Lago Vermelho;Buritizeiro;Minas Gerais;Privado;31
SWMT;Chácara São Matheus;Japurá;Paraná;Privado;41
SJYS;Camará;Normandia;Roraima;Privado;14
SSAH;Fazenda Sorriso;São Félix do Araguaia;Mato Grosso;Privado;51
SILD;Pachu Aviação Agrícola;Olímpia;São Paulo;Privado;35
SNQJ;Fazenda Aerovilas;Divinópolis;Minas Gerais;Privado;31
SJLM;Leão de Ouro;Amajari;Roraima;Privado;14
SJMX;Suapí;Pacaraima;Roraima;Privado;14
SWDT;Dezoito;Nerópolis;Goiás;Privado;52
SIXM;Cifi;Cuiabá;Mato Grosso;Privado;51
SSBG;Aeroclube de Bento Gonçalves;Bento Gonçalves;Rio Grande do Sul;Privado;43
SDLW;Fazenda Colorado;Aruanã;Goiás;Privado;52
SSWR;Fazenda Campana;Rio Brilhante;Mato Grosso do Sul;Privado;50
SSIS;Major José Ignácio;Ibaté;São Paulo;Privado;35
SDCK;Fazenda Gleba da Barra;Brasilândia de Minas;Minas Gerais;Privado;31
SWER;Fazenda Entre Rios;Porto Murtinho;Mato Grosso do Sul;Privado;50
SWRG;Rancho Maria e Tereza;Guajará-Mirim;Rondônia;Privado;11
SWNB;Luís Eduardo Magalhães;Luís Eduardo Magalhães;Bahia;Privado;29
SDZV;Fazenda Lagoa Vermelha;Tesouro;Mato Grosso;Privado;51
SIEK;Fazenda Espírito Santo;Cachoeira do Arari;Pará;Privado;15
SWBY;Fazenda Bela Vista;Indiara;Goiás;Privado;52
SJLO;Manalai;Uiramutã;Roraima;Privado;14
SWWM;Mantena;Mantena;Minas Gerais;Privado;31
SSDG;Fazenda Nossa Senhora das Graças;Sorriso;Mato Grosso;Privado;51
SSEV;Fazenda São Camilo;Corumbá;Mato Grosso do Sul;Privado;50
SIIE;Fazenda Santa Fé;Guia Lopes da Laguna;Mato Grosso do Sul;Privado;50
SITB;Fazenda Touro Branco;Naviraí;Mato Grosso do Sul;Privado;50
SJWO;Joule Agropecuária;Cocalinho;Mato Grosso;Privado;51
SWES;Clube de Aviação Experimental do Paraná;Ibiporã;Paraná;Privado;41
SNPG;Fazenda Uval;Corumbá;Mato Grosso do Sul;Privado;50
SIQS;Fazenda Terra do Sol;Porto Estrela;Mato Grosso;Privado;51
SNAJ;Fazenda Jaguaré;Paragominas;Pará;Privado;15
SNRJ;Juruti;Juruti;Pará;Privado;15
SIYI;Fazenda Planalto ;Montividiu;Goiás;Privado;52
SSSA;Fazenda Sant'Anna do APA;Bela Vista;Mato Grosso do Sul;Privado;50
SSPD;Fazenda Paraguá;Vila Bela da Santíssima Trindade;Mato Grosso;Privado;51
SBBV;Aeroporto Internacional de Boa Vista;Boa Vista;Roraima;Público;14
SBFE;Aeroporto de Feira de Santana;Feira de Santana;Bahia;Público;29
SBGU;Aeroporto Tancredo Thomas de Farias;Guarapuava;Paraná;Público;41
SBQV;Aeroporto Pedro Otacílio Figueiredo;Vitória da Conquista;Bahia;Público;29
SWSI;Presidente João Batista Figueiredo;Sinop;Mato Grosso;Público;51
